category,part_no,part_name
ACCESSORIES,42100,Commercial Vehicle Waste Oil Drainer
ACCESSORIES,424150,Alemlube Grease Pump 20Kg 55:1 Ratio With Trolley
ACCESSORIES,424170,Alemlube 20Kg Air Operated Grease Pump Kit
ACCESSORIES,428262,Alemlube Grease Pump 180Kg 55:1 Ratio
ACCESSORIES,430000,Trolley 20/55Kg
ACCESSORIES,432000,Trolley Std 205L Dru
ACCESSORIES,432814,Trolley Hduty 205L
ACCESSORIES,4408,"Regulator/Gauge 1/2"""
ACCESSORIES,454110N,Alemlube Oil Drum Pump 3:1 Kit Air Operated 60 & 205L With Meter
ACCESSORIES,454111N,Alemlube Oil Drum Pump 3:1 Kit Air Operated 60 & 205L On/Off Gun & Meter
ACCESSORIES,454150,IBC 3:1 Pump Kit
ACCESSORIES,454600N,"Alemlube Stationary Oil Pump Kit 3:1 205 Litre With Pump, Reel & Meter"
ACCESSORIES,454695,"Alemlube Oil Storage & Transfer Kit 3:1 Ibc With Pump, Hose Reel & Meter"
ACCESSORIES,500-OB,Oil Bottle 0.5L
ACCESSORIES,50000,12V Submersible Pump Kit
ACCESSORIES,5000MFN,5L Flexible Pouring Measure
ACCESSORIES,50040,12V Submersible Pump
ACCESSORIES,501300,Reel Grease 1/4 X 10
ACCESSORIES,501A,Alemlube Alemlube Rotary Drum Pump 205L
ACCESSORIES,502525,Swivel Si 1Mx1F BSP
ACCESSORIES,504351,Grease Reel 3/8X15M
ACCESSORIES,505224N,Heavy Duty Hose Reel Spring Rewind
ACCESSORIES,5060AN,Heavy Duty Hi-Flo Refuelling Drum Pump
ACCESSORIES,51007,Diesel Meter 4 Digit
ACCESSORIES,51008,"Mechanical Fuel Meter 1"""
ACCESSORIES,51037,Auto Nozzle - 60Lpm
ACCESSORIES,51037M,Nozzle Auto Shut Off With Digital Meter
ACCESSORIES,51039,Automatic Diesel Nozzle
ACCESSORIES,51040,Nozzle Fuel Hi Flo Auot Shut Off
ACCESSORIES,517000-GK,Kit Manual Nozzle Adblue Ibc Gravityhose
ACCESSORIES,52000,Piusi 12V Battery Refueling Pump Kit
ACCESSORIES,52000A,12V Battery Pump Kit - Auto
ACCESSORIES,52001,24V Battery Kit
ACCESSORIES,52004,Fuel Pump Kit Diesel 12 Volt
ACCESSORIES,52004A,Pump 12V Diesle Refueling High Volume
ACCESSORIES,52005A,24V Hi Vol Pump Kit
ACCESSORIES,52007,Manual Nozzle Fuel
ACCESSORIES,52040,12V Diesel Pump
ACCESSORIES,53110,Tyre Inflator Truck - Mounted
ACCESSORIES,555-E,Grease Gun Trigger Action 400G Cartridge
ACCESSORIES,6000,Thread Tester 6000
ACCESSORIES,60068PA,600L Diesel Fuel Storage Kit
ACCESSORIES,600A,Lever Grease Gun
ACCESSORIES,6134,Alemlube Grease Nipple Header Block 4 Point
ACCESSORIES,6136,Header Bulk Asembly 6 Pt
ACCESSORIES,6138,Header Block 8 Outle
ACCESSORIES,619032,Nozzle Adblue Auto 70 Lpm
ACCESSORIES,619032-MTA,Adblue Mag Tank Adap
ACCESSORIES,630A,Samoa 20V Lithium-ion Cordless Grease Gun
ACCESSORIES,6336N,Grease Kit 2.5Kg Spring Operated
ACCESSORIES,6603A,Alemlube Brake Cleaner Sprayer
ACCESSORIES,660AN,Alemlube Trigger Action Grease Gun
ACCESSORIES,660ANP,Alemlube Trigger Action Grease Gun & Carry Case
ACCESSORIES,660ANP4,Grease Gun Kit Carry Car Castrol Grease
ACCESSORIES,670AN5,Alemlube Cordless Grease Gun 20V
ACCESSORIES,680AN,Air Operated Grease
ACCESSORIES,7320,Oil Can 250Ml Flex S
ACCESSORIES,732000,240V Diesel Pump 72L
ACCESSORIES,7337,20Kg Grease Kit
ACCESSORIES,750030,"Reel 1""X10M Fuel"
ACCESSORIES,76100,205L Drum Lifter
ACCESSORIES,7667,20Kg Hand Operated Grease Res.Filler Kit
ACCESSORIES,7701A,1L Multi Purpose Top Up Kit
ACCESSORIES,80100,Alemlube Drum Trolley 205L
ACCESSORIES,80205,Alemlube Drum Rack 205L
ACCESSORIES,8082-G,"REEL 1-1/2""X50' SPRI"
ACCESSORIES,8828N2,Alemlube Drum Pump 20L
ACCESSORIES,8828N2P,Pump Gear Oil 20 Litre Drum
ACCESSORIES,925-008,Roundup Bung Adaptor
ACCESSORIES,A12833,Grease Nipple Dust Cover 10 Pack
ACCESSORIES,A14507,Grease Coupler
ACCESSORIES,A14509,Needle Adaptor
ACCESSORIES,A14510,"Coupler Grease Quick Release 135mm 1/8"""
ACCESSORIES,A14512,Alemlube Quick Release Grease Gun Coupler
ACCESSORIES,A14513,Alemlube Grease Gun Coupler 4 Jaw
ACCESSORIES,A14514,Display Grease Coupl
ACCESSORIES,A14550,Display-20Cm Flex Ho
ACCESSORIES,A14551,Grease Gun Flex
ACCESSORIES,A14552,Alemlube Grease Gun Flex Hose 450Mm
ACCESSORIES,A14553,Grease Gun Flex 700Mm
ACCESSORIES,A200,Needle Nose
ACCESSORIES,A50006OF,Alemlube Tyre Inflater Lock On Air Chuck
ACCESSORIES,A50007CF,Alemlube Tyre Inflater Closed Flow Lock on Air Chuck
ACCESSORIES,AA290,Alemlube Automotive Electro-Hydraulic Tyre Changer
ACCESSORIES,AA296,Alemlube Automotive Commercial Vehicle Tyre Changer
ACCESSORIES,AA3000,Alemlube Automotive 4 In 1 Air Conditioning Station
ACCESSORIES,AA40CF2P-240V,Hoist Vehicle 4T 240V Automotive
ACCESSORIES,AA850,Alemlube Automotive Wheel Balancer
ACCESSORIES,AAWAT6CCD,Alemlube Commercial Vehicle Wheel Aligner
ACCESSORIES,AB80040,Adblue Auto Shut Off Nozzle
ACCESSORIES,AB80045,Adblue Manual Shut Off Nozzle
ACCESSORIES,AB80050,Adblue Meter Electronic
ACCESSORIES,AB80055,Adblue Rotary Drum Pump
ACCESSORIES,AL161,"Nipple M6 X 1"" 10 Pack"
ACCESSORIES,AL162,Grease Nipple Pack
ACCESSORIES,AL185,"Nipple 1/4"" Unf 10 Pack"
ACCESSORIES,AL200,10 Pack 10Mm X 1 Str
ACCESSORIES,AL28,Nip 1/8 Npt 10 Pack
ACCESSORIES,AL29,"Grease Nipple 1/8"" Bsp 10 Pack"
ACCESSORIES,AL48,Grease Nipple Pack
ACCESSORIES,ALA138,Nip 1/8 Npt 45 10Pac
ACCESSORIES,ALA165,"Nipple M6 X 1"" 90' 10 Pack"
ACCESSORIES,ALA168,Nip M6 X 1 45 10Pack
ACCESSORIES,ALA169,10 Pack 8mm X 1 90 D
ACCESSORIES,ALA189,"Nipple 1/4"" Unf 90 10 Pack"
ACCESSORIES,ALA204,Nipple Grease 10Mm X 1 90 Deg 10 Pack
ACCESSORIES,ALA34,"Nipple 1/8"" Bsp 45Deg 10 Pack"
ACCESSORIES,ALA43,Nip 1/8 Npt 90Degx10
ACCESSORIES,ALA44,Nip 1/8 Bsp 90 10Pac
ACCESSORIES,ALE-1000-2C,"Tank Bench Oil Storage, Dispensing 1000L"
ACCESSORIES,ALE-15FPH,"Diaph Pump 1/2"" Poly"
ACCESSORIES,AP1009,Air Reel 10Mm X 9M Economy
ACCESSORIES,B200,Injector Needle-Econ
ACCESSORIES,B308730,Coupler 14Mm Slim
ACCESSORIES,B336770,Injector Needle
ACCESSORIES,B6304.B,Hydrailic Coupler
ACCESSORIES,B6783,Needle Nose Adapter
ACCESSORIES,BRP5216,Alemlube Caution Safety Barrier Reel (Red/White Band)
ACCESSORIES,BRP5216-YAB,Safety Barrier Reel - Yellow/Black Band
ACCESSORIES,BT0544,8.3 Hose End With Sleeve Reusable 7/16J
ACCESSORIES,CMAC001,Leak Detector - Elec
ACCESSORIES,CR30050,Reel Cable Electric 240V 20Mt 10Amp
ACCESSORIES,DP70015,"Diaph Pump 1/2"" Alum"
ACCESSORIES,DP70020,"Diaph Pump 3/4"" Alum"
ACCESSORIES,F0395/17-00,Beka Max 4Kg Grease Reservoir
ACCESSORIES,FA2,"Filter Fuel 1"""
ACCESSORIES,FA2N,"Fuel Filter 1"""
ACCESSORIES,FAZ03552-00,Bulkhead Nipple Conn
ACCESSORIES,G10010N,Alemlube Trigger Action Grease Gun El Series
ACCESSORIES,G100120,Grease Kit 20Kg El Series 50:1 Ratio 4M
ACCESSORIES,G10020N,Lever Grease Gun
ACCESSORIES,G10040N,Alemlube Cordless Trigger Action Grease Gun El Series 18V
ACCESSORIES,G10042,14.4V Cordless G Gun
ACCESSORIES,G96N,Ravaglioli Commercial Vehicle Tyre Changer
ACCESSORIES,GRS926,Ravaglioli Truck Tyre Changer
ACCESSORIES,GTL4.140RC,Ravaglioli Wheel Balancer With Automatic Rim Data Input
ACCESSORIES,HR40030,Hose Reel Air 20Mt X 10mm Pvc Hose
ACCESSORIES,HR40040,El Series Air Hose Reel 15M X 12Mm Id Hose
ACCESSORIES,L10040PA,Alemlube 100L Diesel & Refuelling Storage & Dispensing Kit
ACCESSORIES,L12,Nip 5/16 Bsf Str
ACCESSORIES,L161,Grease Nipple 6mm X 1 Str.
ACCESSORIES,L162,Grease Nipple 8mm X 1 Str.
ACCESSORIES,L200,Grease Nipple 10mm X 1 Str.
ACCESSORIES,L20040PA,Alemlube 200L Diesel & Refuelling Storage & Dispensing Kit
ACCESSORIES,L205,Grease Nipple 10Mm X 1.5 Str.
ACCESSORIES,L28,"Grease Nipple 1/8"" Npt Str."
ACCESSORIES,L29,Grease Nipple 1/8 BSP Straight
ACCESSORIES,L40040PA,Tank Diesel 400L Storage & Dispensing
ACCESSORIES,L400504017AAM,Diesel/Adblue Storage & Dispencing Kit
ACCESSORIES,L45040PA,Alemlube 450L Diesel & Refuelling Storage & Dispensing Kit
ACCESSORIES,L4674,Agri G/Nipple Kit
ACCESSORIES,L4675,Indust G/Nipple Kit
ACCESSORIES,L4676,Metric G/Nipple Kit
ACCESSORIES,L60040PA,Alemlube 600L Diesel & Refuelling Storage & Dispensing Kit
ACCESSORIES,LA188,Nip 1/4 Unf 67.5 Deg
ACCESSORIES,LA199,Nip 3/8 UNF 90 Deg
ACCESSORIES,LA204,Grease Nipple 10Mm X 1 90 Deg.
ACCESSORIES,LA34,Grease Nipple 1/8 BSP 45 Deg
ACCESSORIES,LA44,"Grease Nipple 1/8"" Bsp 90 Deg"
ACCESSORIES,M-1500-P,Air Con + Printer
ACCESSORIES,M150S,12V Pump Kit Manual
ACCESSORIES,M150SA,Gpi 12V Heavy Duty Diesel Refuelling Drum Pump
ACCESSORIES,O30040,Oil Transfer Kit 3:1 Ratio
ACCESSORIES,O30050,El Series Oil Transfer Kit With Meter
ACCESSORIES,O30060,Oil Transfer Kit With Meter & Trolley
ACCESSORIES,O30070,Alemlube El Series Mobile 205L Oil Transfer Kit
ACCESSORIES,O30080,Oil Meter Gun Electronic
ACCESSORIES,O30090,"Reel Oil 15Mtx1/2"" El"
ACCESSORIES,PF10N,Fa2 Filter Element
ACCESSORIES,SA300N,Alemlube Workshop Air Hose Reel 18M X 10Mm
ACCESSORIES,SA400N,Alemlube Workshop Air Hose Reel 15M X 12Mm
ACCESSORIES,SAW100,Air Reel 10Mmx16Mt
ACCESSORIES,SAW200,Air Reel 12Mmx13Mt
ACCESSORIES,SB325,Nozzle Adblue Auto Shut Off
ACCESSORIES,SG800,Reel Hose Grease 10M X 6Mm Id
ACCESSORIES,SJ-100-002,Alemlube 2 Drum Poly Spill Container
ACCESSORIES,SJ-100-061,Spill Containers Inline 4 Drum
ACCESSORIES,SJ-300-006C,4 Drum Workfloor & Spill Container
ACCESSORIES,SJ-510-001,Spill Contain 1000 Ibc
ACCESSORIES,SO1700,Reel Hose Oil 10M X 12mm Id
ACCESSORIES,ST1-30,30L Spill - Tray Only
ACCESSORIES,SW500N,Water Reel 12Mmx18M
ACCESSORIES,U-850,Commercial Vehicle Wheel Balancer
ACCESSORIES,WP1290,"Hose Reel Water 30Mt X 12Mm 3/4"" Bsp"
ACCESSORIES,204255,Ratchet Hand Ergo 2.5T/50Mm X 9Mt
ACCESSORIES,205095,Slide On Rachet Winch W/Strap
ACCESSORIES,3478-L,Ancra Chain Safety Angle
ACCESSORIES,40298,Ancra Winged Grab Hook 6mm Grade 70
ACCESSORIES,40299,Grab Hook 8.0mm Winged G70
ACCESSORIES,40386-10,"Rope Tie Off: E-Fitting To Dee Ring,"
ACCESSORIES,40386-13,Ancra Rope Tie Off F Fitting To D Ring
ACCESSORIES,40454,Ancra Winged Grab Hook 13Mm Grade 70
ACCESSORIES,40466,Ancra Lever Style Loadbinder 6Mm
ACCESSORIES,40552-10MM-9M-GH,Chain Kit 10Mm X 9M Winged Grab Hooks
ACCESSORIES,40552-13MM-9M-GH-L,Chain Kit 13Mm X 9M
ACCESSORIES,40552-6MM-9M-GH,Ancra Chain Kit 6Mm X 9M With Grab Hooks
ACCESSORIES,40552-8MM-9M-GH,Chain Kit 8mm X 9MTR Winged Grab Hook
ACCESSORIES,40552.6MM.6M.BAG,Ancra Chain Kit 6Mm X 6M With Grab Hooks
ACCESSORIES,40880-19,50Mm Cam Galvanised - Heavy Duty
ACCESSORIES,40921.12,F Beam Socket
ACCESSORIES,41545-11-5T-11MTR-L,Strap Winch 75Mm X 11M 5000Kg  Lc
ACCESSORIES,41545.11.5T.11MTR,75Mm X 5000Kg X 11M Replacement Strap
ACCESSORIES,41546-10-20MTR,20M Cotton Strap
ACCESSORIES,41659-10-12.0MTR,Ancra Replacement Strap 50mm X 12M
ACCESSORIES,41659-10A,Ancra Replacement Strap 50mm X 9M
ACCESSORIES,41659-10A-3T,Ancra Replacement Strap 50Mm X 9M
ACCESSORIES,41659-16,Ancra Replacement Strap 50mm X 11M
ACCESSORIES,42313-12,Winch Bar Handle - Chrome
ACCESSORIES,42313.10,Ancra Straight Winch Bar
ACCESSORIES,42313.14,Ancra Bent Winch Bar
ACCESSORIES,42357-2.4MTR,ANCRA SLIDE WINCH TRACK 2.4M
ACCESSORIES,42357-3.0MTR,ANCRA SLIDE WINCH TRACK 3.0M
ACCESSORIES,43564-15,Clip On Single Boss Winch
ACCESSORIES,43564-20,Ancra Clip On Winch Assembly
ACCESSORIES,43564.20.RC,Ancra Clip On Ratchet Cap Winch Assembly
ACCESSORIES,43564.20.RC-12M,Ancra Clip On Ratchet Cap Winch Assembly
ACCESSORIES,43638-51,Ancra E Series Adjustable Decking Beam 2340Mm To 2610Mm
ACCESSORIES,44557-7-5MTR,Ancra Hand Ratchet Assembly 25mm X 5M Strap
ACCESSORIES,45545-15,Low Profile Pan Fitting 240Kg L/C
ACCESSORIES,47608-21,E Series - Fitting Spring Loaded Web Siz
ACCESSORIES,49203-10,Ancra Slide On Single Boss Winch Assembly
ACCESSORIES,49203-10-RC,Ancra Slide On Ratchet Cap Winch Assembly
ACCESSORIES,49203-11,Ancra Slide On Double Boss Winch Assembly
ACCESSORIES,49203-12-5MTR,Ancra Gate Carrier Single Boss Winch Assembly
ACCESSORIES,49203-12-RH,Gate Carrier Winch
ACCESSORIES,49203-20,Ancra Slide On Single Boss Winch Assembly
ACCESSORIES,49203-20-11M-RC,Slide On Ratchet Cap Winch 50Mm X 2500Kg
ACCESSORIES,49203-20-11MTR,Ancra Slide On Single Boss Winch Assembly
ACCESSORIES,49203-20-12MTR-L,Ancra Slide On Single Boss Winch Assembly
ACCESSORIES,49203-20-RC,Ancra Slide On Ratchet Cap Winch Assembly
ACCESSORIES,49203-21,Ancra Slide On Double Boss Winch Assembly
ACCESSORIES,49203.13.RC,Ancra Slide On Ratchet Cap Winch Assembly
ACCESSORIES,49439-11-H,Ancra F Series Adjustable Shoring Bar 2170Mm To 2570Mm With Handles
ACCESSORIES,49796-10,Ancra Lever Style Loadbinder 7.3-10mm
ACCESSORIES,50000-12,Ancra Hand Ratchet Assembly 50mm X 9M Strap
ACCESSORIES,50000-12-01,Ancra Reverse Action Hand Ratchet Assembly 50mm X 9M Strap
ACCESSORIES,50000-12-11MTR,Ancra Hand Ratchet Assembly 50mm X 11M Strap
ACCESSORIES,50000-12-12MTR,Ancra Hand Ratchet Assembly 50mm X 12M Strap
ACCESSORIES,50000-12-3T,Ancra Hand Ratchet Assembly 50Mm X 5M Strap
ACCESSORIES,50000-12MAIN,Replacement Strap 50Mm X 9M For 50000-12
ACCESSORIES,50000-WD,Web Dog Ratchet 8mm- 50mm 3800kg LC
ACCESSORIES,50000.12.01.11MTR,Ergo Ratchet L/Binder Assy 50mm X 11M
ACCESSORIES,50025-3,Wheel Harness Assy
ACCESSORIES,50025.6.01,Ancra Wheel Harness Ratchet Assembly 50Mm
ACCESSORIES,50041-7-6MTR,Loadbinder Ratchet 35mm 6M 1500kg
ACCESSORIES,50041-7-6MTR-S HOOK,35Mm X 6M Ratchet Buckle Loadbinder C/W
ACCESSORIES,50044.3.3J NOPAD,Ancra Wheel Harness Ratchet Assembly 50mm
ACCESSORIES,50451-11,Pallet Angle Placement Tool 1.2M To 2.4M
ACCESSORIES,54003-6,Bottom Strap Assembly C/W Rave Hook B
ACCESSORIES,54003-7,Ancra Bottom Strap Assembly Tie Rail Hook 44mm Black Webbing
ACCESSORIES,54028-7-BLUE,Axle Strap - 450mm Sewn Eye
ACCESSORIES,54028.JLR.630MM,Ancra Axle Strap With D Rings 630mm
ACCESSORIES,54028.QD,Ancra Axle Strap With D Rings 460mm
ACCESSORIES,54049-1,2.6Mtr Wheel Restraint Strap 50Mm Orange
ACCESSORIES,75000.12,Ratchet Buckle Loadbinder 75mm - 9m
ACCESSORIES,ANC-NET-L,Ancra Ute Cargo Net 2.2M X 2.5M
ACCESSORIES,ANC012,Ancra 12 Tonne Bottle Jack
ACCESSORIES,ANC020,Ancra 20 Tonne Bottle Jack
ACCESSORIES,ANC020T,20T Tall Bottle Jack
ACCESSORIES,ANC1021,F Series - End Cap Aluminium
ACCESSORIES,ANC1203,Step Ladder 3 Step
ACCESSORIES,ANC1507,Anti Luce Weld On 90mm Zinc Plated
ACCESSORIES,ANC1508,Anti Luce Fastener Bolt On 12mm
ACCESSORIES,ANC1509,Spring Bolt 12.5mm Zinc Plated
ACCESSORIES,ANC1511,Anti Luce Fastener Weld On 8Mm
ACCESSORIES,ANC1512,Anti Luce Fastener Bolt On 8mm
ACCESSORIES,ANC2606T,"Drop ""T"" Handle Lock Stainless Steel"
ACCESSORIES,ANC3002,Recessed Floor Ring Z/P 2000kg B/L 95
ACCESSORIES,ANC3004,Recessed Floor Ring
ACCESSORIES,ANC3532,Ancra Cargo Track F Series 3M
ACCESSORIES,ANC3534,Ancra Cargo Track F Series 5.8M
ACCESSORIES,ANC3542,3.0 Metre Zinc Plated E Combination Trac
ACCESSORIES,BOA-HANDLE,Boa Handle
ACCESSORIES,BOA-WINCH,Boa Winch
